random	SNP_n	Gene_n
gtex_rsid584.bed	4	11
gtex_rsid585.bed	6	11
gtex_rsid586.bed	3	4
gtex_rsid587.bed	1	1
gtex_rsid588.bed	2	3
gtex_rsid589.bed	5	9
gtex_rsid590.bed	3	6
gtex_rsid591.bed	3	5
gtex_rsid592.bed	5	13
gtex_rsid593.bed	5	10
gtex_rsid594.bed	5	9
gtex_rsid595.bed	5	14
gtex_rsid596.bed	7	21
gtex_rsid597.bed	4	4
gtex_rsid598.bed	2	3
gtex_rsid599.bed	4	5
gtex_rsid600.bed	10	17
gtex_rsid601.bed	6	11
gtex_rsid602.bed	6	10
gtex_rsid603.bed	7	20
gtex_rsid604.bed	2	2
gtex_rsid605.bed	7	8
gtex_rsid606.bed	6	11
gtex_rsid607.bed	3	31
gtex_rsid608.bed	8	9
gtex_rsid609.bed	2	2
gtex_rsid610.bed	4	5
gtex_rsid611.bed	6	17
gtex_rsid612.bed	7	10
gtex_rsid613.bed	5	13
gtex_rsid614.bed	7	12
gtex_rsid615.bed	5	6
gtex_rsid616.bed	3	5
gtex_rsid617.bed	4	12
gtex_rsid618.bed	3	7
gtex_rsid619.bed	4	12
gtex_rsid620.bed	3	13
gtex_rsid621.bed	7	13
gtex_rsid622.bed	3	5
gtex_rsid623.bed	3	6
gtex_rsid624.bed	6	6
gtex_rsid625.bed	4	8
gtex_rsid626.bed	2	4
gtex_rsid627.bed	3	7
gtex_rsid628.bed	7	20
gtex_rsid629.bed	4	4
gtex_rsid630.bed	2	15
gtex_rsid631.bed	2	4
gtex_rsid632.bed	4	7
gtex_rsid633.bed	3	32
gtex_rsid634.bed	4	9
gtex_rsid635.bed	2	3
gtex_rsid636.bed	7	15
gtex_rsid637.bed	6	20
gtex_rsid638.bed	3	5
gtex_rsid639.bed	4	13
gtex_rsid640.bed	3	6
gtex_rsid641.bed	2	2
gtex_rsid642.bed	5	8
gtex_rsid643.bed	6	7
gtex_rsid644.bed	7	14
gtex_rsid645.bed	3	10
gtex_rsid646.bed	3	3
gtex_rsid647.bed	9	21
gtex_rsid648.bed	7	13
gtex_rsid649.bed	4	5
gtex_rsid650.bed	6	13
gtex_rsid651.bed	3	5
gtex_rsid652.bed	10	13
gtex_rsid653.bed	1	1
gtex_rsid654.bed	2	2
gtex_rsid655.bed	4	5
gtex_rsid656.bed	6	15
gtex_rsid657.bed	5	10
gtex_rsid658.bed	1	1
gtex_rsid659.bed	9	12
gtex_rsid660.bed	2	3
