random	SNP_n	Enh_n
encode_rsid455.tsv	252	252
encode_rsid456.tsv	250	250
encode_rsid457.tsv	226	226
encode_rsid458.tsv	257	257
encode_rsid459.tsv	257	257
encode_rsid460.tsv	251	251
encode_rsid461.tsv	262	262
encode_rsid462.tsv	255	255
encode_rsid463.tsv	240	240
encode_rsid464.tsv	240	240
encode_rsid465.tsv	239	238
encode_rsid466.tsv	255	255
encode_rsid467.tsv	224	224
encode_rsid468.tsv	270	270
encode_rsid469.tsv	235	235
encode_rsid470.tsv	276	276
encode_rsid471.tsv	256	256
encode_rsid472.tsv	255	255
encode_rsid473.tsv	255	255
encode_rsid474.tsv	241	241
encode_rsid475.tsv	244	244
encode_rsid476.tsv	265	265
encode_rsid477.tsv	258	258
encode_rsid478.tsv	257	257
encode_rsid479.tsv	258	258
encode_rsid480.tsv	247	247
encode_rsid481.tsv	257	257
encode_rsid482.tsv	246	246
encode_rsid483.tsv	274	274
encode_rsid484.tsv	243	243
encode_rsid485.tsv	272	272
encode_rsid486.tsv	246	246
encode_rsid487.tsv	231	231
encode_rsid488.tsv	223	223
encode_rsid489.tsv	246	246
encode_rsid490.tsv	268	268
encode_rsid491.tsv	250	250
encode_rsid492.tsv	275	275
encode_rsid493.tsv	261	261
encode_rsid494.tsv	247	246
encode_rsid495.tsv	252	252
encode_rsid496.tsv	259	259
encode_rsid497.tsv	270	270
encode_rsid498.tsv	250	250
encode_rsid499.tsv	245	244
encode_rsid500.tsv	227	227
encode_rsid501.tsv	235	235
encode_rsid502.tsv	241	241
encode_rsid503.tsv	252	252
encode_rsid504.tsv	251	251
encode_rsid505.tsv	261	261
encode_rsid506.tsv	241	240
encode_rsid507.tsv	250	250
encode_rsid508.tsv	256	256
encode_rsid509.tsv	239	239
encode_rsid510.tsv	273	273
encode_rsid511.tsv	227	226
encode_rsid512.tsv	265	265
encode_rsid513.tsv	266	266
encode_rsid514.tsv	252	251
encode_rsid515.tsv	272	272
encode_rsid516.tsv	261	261
encode_rsid517.tsv	260	260
encode_rsid518.tsv	275	275
encode_rsid519.tsv	257	257
encode_rsid520.tsv	253	252
encode_rsid521.tsv	243	242
encode_rsid522.tsv	250	250
encode_rsid523.tsv	243	243
encode_rsid524.tsv	247	247
encode_rsid525.tsv	238	238
encode_rsid526.tsv	251	251
encode_rsid527.tsv	236	235
encode_rsid528.tsv	256	256
encode_rsid529.tsv	266	266
encode_rsid530.tsv	255	254
encode_rsid531.tsv	236	236
encode_rsid532.tsv	263	263
encode_rsid533.tsv	245	245
encode_rsid534.tsv	243	243
encode_rsid535.tsv	227	227
encode_rsid536.tsv	262	262
encode_rsid537.tsv	234	234
encode_rsid538.tsv	253	253
encode_rsid539.tsv	261	261
encode_rsid540.tsv	249	249
encode_rsid541.tsv	281	281
encode_rsid542.tsv	251	251
encode_rsid543.tsv	267	267
encode_rsid544.tsv	268	268
encode_rsid545.tsv	231	231
encode_rsid546.tsv	253	253
encode_rsid547.tsv	282	282
encode_rsid548.tsv	260	260
encode_rsid549.tsv	256	256
encode_rsid550.tsv	254	254
encode_rsid551.tsv	266	266
encode_rsid552.tsv	258	258
encode_rsid553.tsv	254	254
encode_rsid554.tsv	271	270
encode_rsid555.tsv	252	252
encode_rsid556.tsv	247	246
encode_rsid557.tsv	249	249
encode_rsid558.tsv	234	234
encode_rsid559.tsv	256	256
encode_rsid560.tsv	251	251
encode_rsid561.tsv	250	250
encode_rsid562.tsv	263	263
encode_rsid563.tsv	272	272
encode_rsid564.tsv	259	259
encode_rsid565.tsv	228	228
encode_rsid566.tsv	266	266
encode_rsid567.tsv	249	249
encode_rsid568.tsv	238	238
encode_rsid569.tsv	254	254
encode_rsid570.tsv	259	259
encode_rsid571.tsv	265	265
encode_rsid572.tsv	228	228
encode_rsid573.tsv	237	237
