random	SNP_n	lncRNA_n
lncrna_rsid4567.bed	25	28
lncrna_rsid4568.bed	24	30
lncrna_rsid4569.bed	23	38
lncrna_rsid4570.bed	22	31
lncrna_rsid4571.bed	19	22
lncrna_rsid4572.bed	28	32
lncrna_rsid4573.bed	29	34
lncrna_rsid4574.bed	21	35
lncrna_rsid4575.bed	34	43
lncrna_rsid4576.bed	22	27
lncrna_rsid4577.bed	16	19
lncrna_rsid4578.bed	15	16
lncrna_rsid4579.bed	21	40
lncrna_rsid4580.bed	20	28
lncrna_rsid4581.bed	15	22
lncrna_rsid4582.bed	20	32
lncrna_rsid4583.bed	23	28
lncrna_rsid4584.bed	24	45
lncrna_rsid4585.bed	17	20
lncrna_rsid4586.bed	13	15
lncrna_rsid4587.bed	18	21
lncrna_rsid4588.bed	19	25
lncrna_rsid4589.bed	20	26
lncrna_rsid4590.bed	19	29
lncrna_rsid4591.bed	24	35
lncrna_rsid4592.bed	16	17
lncrna_rsid4593.bed	22	34
lncrna_rsid4594.bed	17	21
lncrna_rsid4595.bed	20	32
lncrna_rsid4596.bed	21	24
lncrna_rsid4597.bed	22	28
lncrna_rsid4598.bed	18	27
lncrna_rsid4599.bed	28	41
lncrna_rsid4600.bed	30	45
lncrna_rsid4601.bed	24	41
lncrna_rsid4602.bed	19	23
lncrna_rsid4603.bed	25	26
lncrna_rsid4604.bed	19	22
lncrna_rsid4605.bed	23	24
lncrna_rsid4606.bed	23	37
lncrna_rsid4607.bed	18	21
lncrna_rsid4608.bed	25	35
lncrna_rsid4609.bed	19	20
lncrna_rsid4610.bed	15	20
lncrna_rsid4611.bed	25	32
lncrna_rsid4612.bed	22	36
lncrna_rsid4613.bed	19	22
lncrna_rsid4614.bed	15	16
lncrna_rsid4615.bed	15	17
lncrna_rsid4616.bed	16	16
lncrna_rsid4617.bed	22	26
lncrna_rsid4618.bed	22	33
lncrna_rsid4619.bed	25	30
lncrna_rsid4620.bed	16	30
lncrna_rsid4621.bed	18	19
lncrna_rsid4622.bed	18	21
lncrna_rsid4623.bed	20	22
lncrna_rsid4624.bed	14	22
lncrna_rsid4625.bed	18	25
lncrna_rsid4626.bed	21	30
lncrna_rsid4627.bed	18	21
lncrna_rsid4628.bed	18	30
lncrna_rsid4629.bed	29	31
lncrna_rsid4630.bed	18	25
lncrna_rsid4631.bed	22	26
lncrna_rsid4632.bed	14	15
lncrna_rsid4633.bed	16	18
lncrna_rsid4634.bed	24	41
lncrna_rsid4635.bed	20	21
lncrna_rsid4636.bed	23	38
lncrna_rsid4637.bed	14	18
lncrna_rsid4638.bed	27	38
lncrna_rsid4639.bed	10	13
lncrna_rsid4640.bed	16	22
lncrna_rsid4641.bed	18	25
lncrna_rsid4642.bed	22	38
lncrna_rsid4643.bed	22	43
lncrna_rsid4644.bed	17	27
lncrna_rsid4645.bed	21	28
lncrna_rsid4646.bed	19	30
lncrna_rsid4647.bed	18	20
lncrna_rsid4648.bed	23	30
lncrna_rsid4649.bed	26	29
lncrna_rsid4650.bed	23	28
lncrna_rsid4651.bed	23	44
lncrna_rsid4652.bed	18	27
lncrna_rsid4653.bed	28	51
lncrna_rsid4654.bed	26	32
lncrna_rsid4655.bed	20	30
lncrna_rsid4656.bed	18	20
lncrna_rsid4657.bed	19	32
lncrna_rsid4658.bed	25	37
lncrna_rsid4659.bed	23	26
lncrna_rsid4660.bed	18	28
lncrna_rsid4661.bed	29	38
lncrna_rsid4662.bed	31	49
lncrna_rsid4663.bed	19	30
lncrna_rsid4664.bed	15	15
lncrna_rsid4665.bed	19	23
lncrna_rsid4666.bed	16	19
lncrna_rsid4667.bed	20	30
lncrna_rsid4668.bed	23	38
lncrna_rsid4669.bed	18	21
lncrna_rsid4670.bed	31	41
lncrna_rsid4671.bed	21	33
lncrna_rsid4672.bed	24	31
lncrna_rsid4673.bed	23	28
lncrna_rsid4674.bed	29	43
lncrna_rsid4675.bed	22	29
lncrna_rsid4676.bed	18	25
lncrna_rsid4677.bed	19	24
lncrna_rsid4678.bed	21	26
lncrna_rsid4679.bed	19	23
lncrna_rsid4680.bed	24	35
lncrna_rsid4681.bed	20	35
lncrna_rsid4682.bed	21	30
lncrna_rsid4683.bed	22	33
lncrna_rsid4684.bed	13	16
lncrna_rsid4685.bed	18	20
lncrna_rsid4686.bed	24	29
lncrna_rsid4687.bed	17	22
lncrna_rsid4688.bed	18	26
lncrna_rsid4689.bed	21	22
lncrna_rsid4690.bed	28	35
lncrna_rsid4691.bed	23	29
lncrna_rsid4692.bed	20	30
lncrna_rsid4693.bed	17	18
lncrna_rsid4694.bed	19	21
lncrna_rsid4695.bed	14	16
lncrna_rsid4696.bed	23	33
lncrna_rsid4697.bed	29	31
lncrna_rsid4698.bed	11	14
lncrna_rsid4699.bed	17	20
lncrna_rsid4700.bed	17	29
lncrna_rsid4701.bed	19	24
lncrna_rsid4702.bed	19	31
lncrna_rsid4703.bed	16	22
lncrna_rsid4704.bed	23	26
lncrna_rsid4705.bed	14	21
lncrna_rsid4706.bed	25	38
lncrna_rsid4707.bed	20	22
lncrna_rsid4708.bed	20	27
lncrna_rsid4709.bed	23	29
lncrna_rsid4710.bed	21	23
lncrna_rsid4711.bed	17	21
lncrna_rsid4712.bed	25	29
lncrna_rsid4713.bed	25	31
lncrna_rsid4714.bed	20	27
lncrna_rsid4715.bed	16	26
lncrna_rsid4716.bed	25	39
lncrna_rsid4717.bed	15	18
lncrna_rsid4718.bed	23	41
lncrna_rsid4719.bed	24	36
lncrna_rsid4720.bed	19	45
lncrna_rsid4721.bed	21	37
lncrna_rsid4722.bed	15	24
lncrna_rsid4723.bed	16	19
lncrna_rsid4724.bed	33	47
lncrna_rsid4725.bed	17	26
lncrna_rsid4726.bed	19	22
lncrna_rsid4727.bed	21	36
lncrna_rsid4728.bed	10	12
lncrna_rsid4729.bed	29	38
lncrna_rsid4730.bed	15	17
lncrna_rsid4731.bed	19	22
lncrna_rsid4732.bed	22	37
lncrna_rsid4733.bed	17	17
lncrna_rsid4734.bed	22	25
lncrna_rsid4735.bed	19	31
lncrna_rsid4736.bed	20	30
lncrna_rsid4737.bed	14	24
lncrna_rsid4738.bed	18	20
lncrna_rsid4739.bed	24	31
lncrna_rsid4740.bed	17	21
lncrna_rsid4741.bed	21	30
lncrna_rsid4742.bed	18	26
lncrna_rsid4743.bed	22	43
lncrna_rsid4744.bed	17	20
lncrna_rsid4745.bed	22	29
lncrna_rsid4746.bed	25	41
lncrna_rsid4747.bed	21	27
lncrna_rsid4748.bed	21	31
lncrna_rsid4749.bed	15	22
lncrna_rsid4750.bed	18	22
lncrna_rsid4751.bed	15	21
lncrna_rsid4752.bed	17	17
lncrna_rsid4753.bed	18	19
lncrna_rsid4754.bed	21	24
lncrna_rsid4755.bed	25	38
lncrna_rsid4756.bed	21	30
lncrna_rsid4757.bed	25	45
lncrna_rsid4758.bed	27	48
lncrna_rsid4759.bed	16	17
lncrna_rsid4760.bed	24	41
lncrna_rsid4761.bed	21	26
lncrna_rsid4762.bed	22	28
lncrna_rsid4763.bed	19	32
lncrna_rsid4764.bed	19	22
lncrna_rsid4765.bed	18	27
lncrna_rsid4766.bed	30	41
lncrna_rsid4767.bed	22	29
lncrna_rsid4768.bed	17	24
lncrna_rsid4769.bed	17	21
lncrna_rsid4770.bed	13	14
lncrna_rsid4771.bed	22	43
lncrna_rsid4772.bed	23	27
lncrna_rsid4773.bed	17	27
lncrna_rsid4774.bed	22	26
lncrna_rsid4775.bed	18	30
lncrna_rsid4776.bed	19	23
lncrna_rsid4777.bed	21	31
lncrna_rsid4778.bed	22	27
lncrna_rsid4779.bed	19	26
lncrna_rsid4780.bed	15	18
lncrna_rsid4781.bed	18	35
lncrna_rsid4782.bed	25	36
lncrna_rsid4783.bed	17	22
lncrna_rsid4784.bed	24	52
lncrna_rsid4785.bed	14	15
lncrna_rsid4786.bed	22	28
lncrna_rsid4787.bed	29	31
lncrna_rsid4788.bed	21	24
lncrna_rsid4789.bed	22	28
lncrna_rsid4790.bed	23	31
lncrna_rsid4791.bed	22	32
lncrna_rsid4792.bed	12	23
lncrna_rsid4793.bed	16	19
lncrna_rsid4794.bed	22	36
lncrna_rsid4795.bed	22	27
lncrna_rsid4796.bed	31	52
lncrna_rsid4797.bed	27	33
lncrna_rsid4798.bed	19	30
lncrna_rsid4799.bed	17	21
lncrna_rsid4800.bed	20	26
lncrna_rsid4801.bed	24	34
lncrna_rsid4802.bed	15	18
lncrna_rsid4803.bed	17	27
lncrna_rsid4804.bed	21	24
lncrna_rsid4805.bed	25	34
lncrna_rsid4806.bed	18	30
lncrna_rsid4807.bed	20	32
lncrna_rsid4808.bed	24	33
lncrna_rsid4809.bed	24	28
lncrna_rsid4810.bed	18	22
lncrna_rsid4811.bed	19	24
lncrna_rsid4812.bed	18	28
lncrna_rsid4813.bed	12	13
lncrna_rsid4814.bed	29	31
lncrna_rsid4815.bed	17	27
lncrna_rsid4816.bed	25	30
lncrna_rsid4817.bed	15	16
lncrna_rsid4818.bed	25	39
lncrna_rsid4819.bed	17	22
lncrna_rsid4820.bed	25	41
lncrna_rsid4821.bed	17	22
lncrna_rsid4822.bed	23	29
lncrna_rsid4823.bed	19	27
lncrna_rsid4824.bed	25	37
lncrna_rsid4825.bed	24	31
lncrna_rsid4826.bed	20	20
lncrna_rsid4827.bed	20	21
lncrna_rsid4828.bed	28	33
lncrna_rsid4829.bed	26	36
lncrna_rsid4830.bed	20	24
lncrna_rsid4831.bed	24	37
lncrna_rsid4832.bed	27	36
lncrna_rsid4833.bed	11	13
lncrna_rsid4834.bed	31	46
lncrna_rsid4835.bed	24	34
lncrna_rsid4836.bed	22	36
lncrna_rsid4837.bed	23	29
lncrna_rsid4838.bed	25	37
lncrna_rsid4839.bed	21	40
lncrna_rsid4840.bed	19	26
lncrna_rsid4841.bed	20	21
lncrna_rsid4842.bed	21	30
lncrna_rsid4843.bed	19	32
lncrna_rsid4844.bed	23	28
lncrna_rsid4845.bed	12	21
lncrna_rsid4846.bed	28	34
lncrna_rsid4847.bed	21	37
lncrna_rsid4848.bed	18	18
lncrna_rsid4849.bed	30	35
lncrna_rsid4850.bed	19	27
lncrna_rsid4851.bed	18	20
lncrna_rsid4852.bed	21	27
lncrna_rsid4853.bed	26	35
lncrna_rsid4854.bed	12	15
lncrna_rsid4855.bed	16	25
lncrna_rsid4856.bed	27	31
lncrna_rsid4857.bed	21	33
lncrna_rsid4858.bed	20	22
lncrna_rsid4859.bed	21	38
lncrna_rsid4860.bed	19	21
lncrna_rsid4861.bed	23	33
lncrna_rsid4862.bed	22	31
lncrna_rsid4863.bed	19	28
lncrna_rsid4864.bed	23	31
lncrna_rsid4865.bed	16	22
lncrna_rsid4866.bed	20	28
lncrna_rsid4867.bed	26	48
lncrna_rsid4868.bed	21	29
lncrna_rsid4869.bed	14	17
lncrna_rsid4870.bed	15	19
lncrna_rsid4871.bed	26	30
lncrna_rsid4872.bed	12	12
lncrna_rsid4873.bed	23	36
lncrna_rsid4874.bed	20	28
lncrna_rsid4875.bed	17	24
lncrna_rsid4876.bed	24	33
lncrna_rsid4877.bed	24	32
lncrna_rsid4878.bed	20	35
lncrna_rsid4879.bed	18	29
lncrna_rsid4880.bed	25	32
lncrna_rsid4881.bed	24	38
lncrna_rsid4882.bed	17	22
lncrna_rsid4883.bed	14	23
lncrna_rsid4884.bed	14	22
lncrna_rsid4885.bed	31	38
lncrna_rsid4886.bed	20	42
lncrna_rsid4887.bed	17	21
lncrna_rsid4888.bed	22	34
lncrna_rsid4889.bed	32	41
lncrna_rsid4890.bed	17	24
lncrna_rsid4891.bed	22	26
lncrna_rsid4892.bed	24	34
lncrna_rsid4893.bed	21	30
lncrna_rsid4894.bed	21	27
lncrna_rsid4895.bed	24	50
lncrna_rsid4896.bed	14	23
lncrna_rsid4897.bed	19	26
lncrna_rsid4898.bed	26	30
lncrna_rsid4899.bed	15	15
lncrna_rsid4900.bed	19	32
lncrna_rsid4901.bed	27	39
lncrna_rsid4902.bed	21	50
lncrna_rsid4903.bed	20	28
lncrna_rsid4904.bed	20	33
lncrna_rsid4905.bed	24	36
lncrna_rsid4906.bed	28	50
lncrna_rsid4907.bed	24	29
lncrna_rsid4908.bed	21	32
lncrna_rsid4909.bed	16	21
lncrna_rsid4910.bed	16	21
lncrna_rsid4911.bed	22	23
lncrna_rsid4912.bed	31	40
lncrna_rsid4913.bed	12	15
lncrna_rsid4914.bed	22	24
lncrna_rsid4915.bed	19	24
lncrna_rsid4916.bed	26	36
lncrna_rsid4917.bed	19	24
lncrna_rsid4918.bed	15	23
lncrna_rsid4919.bed	23	30
lncrna_rsid4920.bed	17	24
lncrna_rsid4921.bed	17	21
lncrna_rsid4922.bed	18	25
lncrna_rsid4923.bed	21	26
lncrna_rsid4924.bed	27	35
lncrna_rsid4925.bed	22	32
lncrna_rsid4926.bed	15	21
lncrna_rsid4927.bed	21	34
lncrna_rsid4928.bed	16	23
lncrna_rsid4929.bed	16	25
lncrna_rsid4930.bed	20	26
lncrna_rsid4931.bed	30	44
lncrna_rsid4932.bed	23	32
lncrna_rsid4933.bed	25	27
lncrna_rsid4934.bed	23	31
lncrna_rsid4935.bed	20	24
lncrna_rsid4936.bed	20	22
lncrna_rsid4937.bed	14	15
lncrna_rsid4938.bed	21	22
lncrna_rsid4939.bed	19	26
lncrna_rsid4940.bed	19	23
lncrna_rsid4941.bed	19	25
lncrna_rsid4942.bed	17	19
lncrna_rsid4943.bed	14	16
lncrna_rsid4944.bed	24	31
lncrna_rsid4945.bed	23	35
lncrna_rsid4946.bed	18	22
lncrna_rsid4947.bed	15	17
lncrna_rsid4948.bed	20	29
lncrna_rsid4949.bed	21	28
lncrna_rsid4950.bed	22	29
lncrna_rsid4951.bed	14	29
lncrna_rsid4952.bed	20	29
lncrna_rsid4953.bed	20	33
lncrna_rsid4954.bed	22	31
lncrna_rsid4955.bed	19	33
lncrna_rsid4956.bed	27	29
lncrna_rsid4957.bed	27	38
lncrna_rsid4958.bed	28	39
lncrna_rsid4959.bed	21	29
lncrna_rsid4960.bed	10	18
lncrna_rsid4961.bed	20	24
lncrna_rsid4962.bed	11	13
lncrna_rsid4963.bed	19	36
lncrna_rsid4964.bed	16	21
lncrna_rsid4965.bed	28	34
lncrna_rsid4966.bed	19	25
lncrna_rsid4967.bed	16	20
lncrna_rsid4968.bed	17	38
lncrna_rsid4969.bed	22	33
lncrna_rsid4970.bed	21	39
lncrna_rsid4971.bed	16	24
lncrna_rsid4972.bed	19	32
lncrna_rsid4973.bed	19	25
lncrna_rsid4974.bed	19	24
lncrna_rsid4975.bed	23	48
lncrna_rsid4976.bed	18	24
lncrna_rsid4977.bed	26	33
lncrna_rsid4978.bed	26	34
lncrna_rsid4979.bed	18	19
lncrna_rsid4980.bed	24	37
lncrna_rsid4981.bed	17	19
lncrna_rsid4982.bed	15	16
lncrna_rsid4983.bed	19	25
lncrna_rsid4984.bed	23	34
lncrna_rsid4985.bed	31	43
lncrna_rsid4986.bed	18	22
lncrna_rsid4987.bed	18	19
lncrna_rsid4988.bed	27	36
lncrna_rsid4989.bed	15	24
lncrna_rsid4990.bed	27	36
lncrna_rsid4991.bed	22	26
lncrna_rsid4992.bed	18	25
lncrna_rsid4993.bed	32	42
lncrna_rsid4994.bed	27	39
lncrna_rsid4995.bed	20	24
lncrna_rsid4996.bed	21	25
lncrna_rsid4997.bed	23	36
lncrna_rsid4998.bed	18	20
lncrna_rsid4999.bed	17	23
lncrna_rsid5000.bed	29	37
lncrna_rsid5001.bed	19	21
lncrna_rsid5002.bed	18	25
lncrna_rsid5003.bed	15	16
lncrna_rsid5004.bed	21	29
lncrna_rsid5005.bed	17	24
lncrna_rsid5006.bed	22	42
lncrna_rsid5007.bed	18	34
lncrna_rsid5008.bed	28	52
lncrna_rsid5009.bed	10	14
lncrna_rsid5010.bed	28	36
lncrna_rsid5011.bed	21	23
lncrna_rsid5012.bed	17	18
lncrna_rsid5013.bed	18	37
lncrna_rsid5014.bed	13	33
lncrna_rsid5015.bed	19	28
lncrna_rsid5016.bed	19	28
lncrna_rsid5017.bed	22	29
lncrna_rsid5018.bed	21	33
lncrna_rsid5019.bed	15	20
lncrna_rsid5020.bed	31	39
lncrna_rsid5021.bed	21	28
lncrna_rsid5022.bed	20	23
lncrna_rsid5023.bed	19	28
lncrna_rsid5024.bed	19	25
lncrna_rsid5025.bed	39	51
lncrna_rsid5026.bed	22	29
lncrna_rsid5027.bed	17	21
lncrna_rsid5028.bed	20	36
lncrna_rsid5029.bed	19	23
lncrna_rsid5030.bed	26	30
lncrna_rsid5031.bed	19	22
lncrna_rsid5032.bed	21	24
lncrna_rsid5033.bed	18	23
lncrna_rsid5034.bed	15	18
lncrna_rsid5035.bed	20	31
lncrna_rsid5036.bed	28	35
lncrna_rsid5037.bed	24	34
lncrna_rsid5038.bed	22	25
lncrna_rsid5039.bed	28	41
lncrna_rsid5040.bed	18	27
lncrna_rsid5041.bed	25	54
lncrna_rsid5042.bed	21	29
lncrna_rsid5043.bed	19	20
lncrna_rsid5044.bed	24	26
lncrna_rsid5045.bed	22	25
lncrna_rsid5046.bed	18	27
lncrna_rsid5047.bed	18	25
lncrna_rsid5048.bed	28	38
lncrna_rsid5049.bed	20	54
lncrna_rsid5050.bed	17	24
lncrna_rsid5051.bed	29	37
lncrna_rsid5052.bed	18	36
lncrna_rsid5053.bed	19	37
lncrna_rsid5054.bed	16	29
lncrna_rsid5055.bed	22	37
lncrna_rsid5056.bed	23	32
lncrna_rsid5057.bed	18	20
lncrna_rsid5058.bed	23	26
lncrna_rsid5059.bed	17	21
lncrna_rsid5060.bed	23	44
lncrna_rsid5061.bed	21	33
lncrna_rsid5062.bed	22	37
lncrna_rsid5063.bed	22	31
lncrna_rsid5064.bed	21	26
lncrna_rsid5065.bed	25	31
lncrna_rsid5066.bed	20	26
lncrna_rsid5067.bed	16	19
lncrna_rsid5068.bed	22	36
lncrna_rsid5069.bed	24	29
lncrna_rsid5070.bed	18	21
lncrna_rsid5071.bed	20	32
lncrna_rsid5072.bed	29	35
lncrna_rsid5073.bed	22	28
lncrna_rsid5074.bed	21	28
lncrna_rsid5075.bed	19	29
lncrna_rsid5076.bed	20	27
lncrna_rsid5077.bed	22	33
lncrna_rsid5078.bed	27	30
lncrna_rsid5079.bed	24	33
lncrna_rsid5080.bed	25	30
lncrna_rsid5081.bed	15	30
lncrna_rsid5082.bed	17	19
lncrna_rsid5083.bed	25	33
lncrna_rsid5084.bed	28	37
lncrna_rsid5085.bed	21	32
lncrna_rsid5086.bed	22	33
lncrna_rsid5087.bed	26	41
lncrna_rsid5088.bed	27	35
lncrna_rsid5089.bed	21	28
lncrna_rsid5090.bed	20	30
lncrna_rsid5091.bed	26	35
lncrna_rsid5092.bed	28	39
lncrna_rsid5093.bed	17	21
lncrna_rsid5094.bed	18	26
lncrna_rsid5095.bed	25	27
lncrna_rsid5096.bed	25	26
lncrna_rsid5097.bed	11	12
lncrna_rsid5098.bed	23	30
lncrna_rsid5099.bed	18	36
lncrna_rsid5100.bed	23	32
lncrna_rsid5101.bed	22	35
lncrna_rsid5102.bed	10	12
lncrna_rsid5103.bed	23	26
lncrna_rsid5104.bed	15	23
lncrna_rsid5105.bed	20	29
lncrna_rsid5106.bed	25	42
lncrna_rsid5107.bed	22	30
lncrna_rsid5108.bed	15	20
lncrna_rsid5109.bed	26	31
lncrna_rsid5110.bed	25	39
lncrna_rsid5111.bed	18	26
lncrna_rsid5112.bed	22	33
lncrna_rsid5113.bed	23	31
lncrna_rsid5114.bed	21	28
lncrna_rsid5115.bed	13	15
lncrna_rsid5116.bed	26	31
lncrna_rsid5117.bed	21	29
lncrna_rsid5118.bed	22	30
lncrna_rsid5119.bed	15	16
lncrna_rsid5120.bed	19	28
lncrna_rsid5121.bed	20	65
lncrna_rsid5122.bed	28	58
lncrna_rsid5123.bed	23	32
lncrna_rsid5124.bed	25	34
lncrna_rsid5125.bed	17	28
lncrna_rsid5126.bed	22	27
lncrna_rsid5127.bed	17	28
lncrna_rsid5128.bed	23	32
lncrna_rsid5129.bed	18	29
lncrna_rsid5130.bed	21	27
lncrna_rsid5131.bed	21	42
lncrna_rsid5132.bed	19	25
lncrna_rsid5133.bed	10	11
lncrna_rsid5134.bed	16	19
lncrna_rsid5135.bed	21	26
lncrna_rsid5136.bed	27	42
lncrna_rsid5137.bed	24	29
lncrna_rsid5138.bed	23	31
lncrna_rsid5139.bed	16	17
lncrna_rsid5140.bed	20	23
lncrna_rsid5141.bed	16	18
lncrna_rsid5142.bed	27	37
lncrna_rsid5143.bed	20	28
lncrna_rsid5144.bed	23	34
lncrna_rsid5145.bed	21	25
lncrna_rsid5146.bed	16	21
lncrna_rsid5147.bed	13	19
lncrna_rsid5148.bed	21	30
lncrna_rsid5149.bed	15	23
lncrna_rsid5150.bed	16	23
lncrna_rsid5151.bed	13	17
lncrna_rsid5152.bed	21	29
lncrna_rsid5153.bed	14	17
lncrna_rsid5154.bed	11	19
lncrna_rsid5155.bed	20	22
lncrna_rsid5156.bed	16	22
lncrna_rsid5157.bed	14	18
lncrna_rsid5158.bed	12	12
lncrna_rsid5159.bed	26	36
lncrna_rsid5160.bed	22	30
lncrna_rsid5161.bed	19	34
lncrna_rsid5162.bed	21	33
lncrna_rsid5163.bed	20	24
lncrna_rsid5164.bed	14	15
lncrna_rsid5165.bed	19	29
lncrna_rsid5166.bed	29	41
lncrna_rsid5167.bed	12	16
lncrna_rsid5168.bed	26	30
lncrna_rsid5169.bed	20	45
lncrna_rsid5170.bed	30	43
lncrna_rsid5171.bed	10	15
lncrna_rsid5172.bed	18	21
lncrna_rsid5173.bed	11	15
lncrna_rsid5174.bed	31	40
lncrna_rsid5175.bed	23	29
lncrna_rsid5176.bed	16	20
lncrna_rsid5177.bed	22	26
lncrna_rsid5178.bed	23	26
lncrna_rsid5179.bed	9	19
lncrna_rsid5180.bed	10	14
lncrna_rsid5181.bed	22	31
lncrna_rsid5182.bed	23	36
lncrna_rsid5183.bed	19	23
lncrna_rsid5184.bed	21	36
lncrna_rsid5185.bed	21	37
lncrna_rsid5186.bed	23	31
lncrna_rsid5187.bed	18	27
lncrna_rsid5188.bed	27	37
lncrna_rsid5189.bed	16	19
lncrna_rsid5190.bed	17	21
lncrna_rsid5191.bed	24	42
lncrna_rsid5192.bed	14	18
lncrna_rsid5193.bed	21	25
lncrna_rsid5194.bed	10	25
lncrna_rsid5195.bed	15	24
lncrna_rsid5196.bed	21	28
lncrna_rsid5197.bed	12	13
lncrna_rsid5198.bed	24	50
lncrna_rsid5199.bed	18	36
lncrna_rsid5200.bed	16	24
lncrna_rsid5201.bed	19	33
lncrna_rsid5202.bed	25	29
lncrna_rsid5203.bed	23	32
lncrna_rsid5204.bed	23	32
lncrna_rsid5205.bed	25	27
lncrna_rsid5206.bed	20	35
lncrna_rsid5207.bed	24	33
lncrna_rsid5208.bed	20	22
lncrna_rsid5209.bed	24	39
lncrna_rsid5210.bed	17	17
lncrna_rsid5211.bed	13	16
lncrna_rsid5212.bed	17	25
lncrna_rsid5213.bed	36	41
lncrna_rsid5214.bed	20	27
lncrna_rsid5215.bed	21	31
lncrna_rsid5216.bed	21	31
lncrna_rsid5217.bed	34	52
lncrna_rsid5218.bed	18	35
lncrna_rsid5219.bed	15	26
lncrna_rsid5220.bed	23	26
lncrna_rsid5221.bed	24	32
lncrna_rsid5222.bed	20	26
lncrna_rsid5223.bed	23	38
lncrna_rsid5224.bed	24	36
lncrna_rsid5225.bed	31	58
lncrna_rsid5226.bed	24	28
lncrna_rsid5227.bed	20	32
lncrna_rsid5228.bed	15	18
lncrna_rsid5229.bed	23	26
lncrna_rsid5230.bed	20	23
lncrna_rsid5231.bed	16	31
lncrna_rsid5232.bed	18	22
lncrna_rsid5233.bed	23	32
lncrna_rsid5234.bed	17	25
lncrna_rsid5235.bed	26	35
lncrna_rsid5236.bed	16	26
lncrna_rsid5237.bed	13	22
lncrna_rsid5238.bed	24	41
lncrna_rsid5239.bed	18	18
lncrna_rsid5240.bed	22	27
lncrna_rsid5241.bed	22	27
lncrna_rsid5242.bed	20	25
lncrna_rsid5243.bed	19	20
lncrna_rsid5244.bed	24	36
lncrna_rsid5245.bed	21	26
lncrna_rsid5246.bed	15	28
lncrna_rsid5247.bed	24	34
lncrna_rsid5248.bed	25	43
lncrna_rsid5249.bed	17	22
lncrna_rsid5250.bed	19	31
lncrna_rsid5251.bed	25	31
lncrna_rsid5252.bed	28	41
lncrna_rsid5253.bed	20	24
lncrna_rsid5254.bed	18	18
lncrna_rsid5255.bed	17	24
lncrna_rsid5256.bed	22	25
lncrna_rsid5257.bed	26	33
lncrna_rsid5258.bed	25	33
lncrna_rsid5259.bed	16	28
lncrna_rsid5260.bed	19	24
lncrna_rsid5261.bed	19	25
lncrna_rsid5262.bed	24	28
lncrna_rsid5263.bed	19	23
lncrna_rsid5264.bed	19	40
lncrna_rsid5265.bed	24	27
lncrna_rsid5266.bed	24	31
lncrna_rsid5267.bed	16	20
lncrna_rsid5268.bed	13	13
lncrna_rsid5269.bed	18	26
lncrna_rsid5270.bed	23	30
lncrna_rsid5271.bed	19	27
lncrna_rsid5272.bed	19	33
lncrna_rsid5273.bed	12	26
lncrna_rsid5274.bed	24	31
lncrna_rsid5275.bed	23	36
lncrna_rsid5276.bed	20	23
lncrna_rsid5277.bed	21	28
lncrna_rsid5278.bed	20	23
lncrna_rsid5279.bed	25	38
lncrna_rsid5280.bed	21	31
lncrna_rsid5281.bed	18	25
lncrna_rsid5282.bed	18	22
lncrna_rsid5283.bed	30	51
lncrna_rsid5284.bed	26	46
lncrna_rsid5285.bed	22	31
lncrna_rsid5286.bed	15	18
lncrna_rsid5287.bed	19	28
lncrna_rsid5288.bed	18	24
lncrna_rsid5289.bed	26	45
lncrna_rsid5290.bed	27	31
lncrna_rsid5291.bed	19	19
lncrna_rsid5292.bed	25	32
lncrna_rsid5293.bed	18	25
lncrna_rsid5294.bed	25	31
lncrna_rsid5295.bed	17	26
lncrna_rsid5296.bed	18	21
lncrna_rsid5297.bed	23	35
lncrna_rsid5298.bed	23	24
lncrna_rsid5299.bed	21	29
lncrna_rsid5300.bed	20	28
lncrna_rsid5301.bed	24	31
lncrna_rsid5302.bed	20	25
lncrna_rsid5303.bed	20	24
lncrna_rsid5304.bed	25	31
lncrna_rsid5305.bed	17	21
lncrna_rsid5306.bed	15	17
lncrna_rsid5307.bed	24	43
lncrna_rsid5308.bed	22	28
lncrna_rsid5309.bed	23	28
lncrna_rsid5310.bed	20	27
lncrna_rsid5311.bed	14	21
lncrna_rsid5312.bed	20	48
lncrna_rsid5313.bed	23	31
lncrna_rsid5314.bed	20	27
lncrna_rsid5315.bed	25	39
lncrna_rsid5316.bed	23	41
lncrna_rsid5317.bed	20	39
lncrna_rsid5318.bed	29	41
lncrna_rsid5319.bed	19	32
lncrna_rsid5320.bed	22	31
lncrna_rsid5321.bed	16	24
lncrna_rsid5322.bed	15	19
lncrna_rsid5323.bed	23	34
lncrna_rsid5324.bed	22	29
lncrna_rsid5325.bed	14	17
lncrna_rsid5326.bed	18	33
lncrna_rsid5327.bed	16	19
lncrna_rsid5328.bed	18	22
lncrna_rsid5329.bed	17	18
lncrna_rsid5330.bed	17	22
lncrna_rsid5331.bed	14	19
lncrna_rsid5332.bed	21	27
lncrna_rsid5333.bed	23	30
lncrna_rsid5334.bed	18	36
lncrna_rsid5335.bed	38	57
lncrna_rsid5336.bed	13	19
lncrna_rsid5337.bed	26	37
lncrna_rsid5338.bed	19	26
lncrna_rsid5339.bed	16	19
lncrna_rsid5340.bed	19	22
lncrna_rsid5341.bed	28	39
lncrna_rsid5342.bed	25	37
