random	SNP_n	Enh_n
roadmap_rsid518.tsv	429	426
roadmap_rsid519.tsv	450	450
roadmap_rsid520.tsv	468	468
roadmap_rsid521.tsv	440	439
roadmap_rsid522.tsv	431	430
roadmap_rsid523.tsv	448	448
roadmap_rsid524.tsv	427	427
roadmap_rsid525.tsv	424	423
roadmap_rsid526.tsv	426	425
roadmap_rsid527.tsv	435	435
roadmap_rsid528.tsv	404	404
roadmap_rsid529.tsv	431	430
roadmap_rsid530.tsv	442	442
roadmap_rsid531.tsv	426	424
roadmap_rsid532.tsv	426	426
roadmap_rsid533.tsv	451	451
roadmap_rsid534.tsv	456	456
roadmap_rsid535.tsv	429	429
roadmap_rsid536.tsv	423	422
roadmap_rsid537.tsv	442	442
roadmap_rsid538.tsv	434	434
roadmap_rsid539.tsv	418	417
roadmap_rsid540.tsv	419	419
roadmap_rsid541.tsv	444	444
roadmap_rsid542.tsv	447	447
roadmap_rsid543.tsv	441	441
roadmap_rsid544.tsv	465	465
roadmap_rsid545.tsv	456	455
roadmap_rsid546.tsv	458	458
roadmap_rsid547.tsv	457	457
roadmap_rsid548.tsv	462	461
roadmap_rsid549.tsv	457	455
roadmap_rsid550.tsv	454	454
roadmap_rsid551.tsv	419	419
roadmap_rsid552.tsv	390	390
roadmap_rsid553.tsv	422	421
roadmap_rsid554.tsv	484	484
roadmap_rsid555.tsv	442	441
roadmap_rsid556.tsv	448	446
roadmap_rsid557.tsv	415	415
roadmap_rsid558.tsv	432	432
roadmap_rsid559.tsv	461	461
roadmap_rsid560.tsv	468	468
roadmap_rsid561.tsv	437	436
roadmap_rsid562.tsv	387	387
roadmap_rsid563.tsv	429	428
roadmap_rsid564.tsv	451	451
roadmap_rsid565.tsv	429	429
roadmap_rsid566.tsv	416	415
roadmap_rsid567.tsv	444	444
roadmap_rsid568.tsv	423	422
roadmap_rsid569.tsv	444	444
roadmap_rsid570.tsv	448	447
roadmap_rsid571.tsv	427	425
roadmap_rsid572.tsv	399	399
roadmap_rsid573.tsv	436	435
roadmap_rsid574.tsv	418	418
roadmap_rsid575.tsv	450	450
roadmap_rsid576.tsv	467	467
roadmap_rsid577.tsv	437	436
roadmap_rsid578.tsv	461	461
roadmap_rsid579.tsv	386	386
roadmap_rsid580.tsv	460	460
roadmap_rsid581.tsv	453	453
roadmap_rsid582.tsv	465	465
roadmap_rsid583.tsv	403	401
roadmap_rsid584.tsv	408	405
roadmap_rsid585.tsv	415	415
roadmap_rsid586.tsv	441	441
roadmap_rsid587.tsv	430	429
roadmap_rsid588.tsv	446	445
roadmap_rsid589.tsv	468	468
roadmap_rsid590.tsv	419	416
roadmap_rsid591.tsv	463	463
roadmap_rsid592.tsv	449	448
roadmap_rsid593.tsv	436	435
roadmap_rsid594.tsv	438	438
roadmap_rsid595.tsv	423	422
roadmap_rsid596.tsv	457	455
roadmap_rsid597.tsv	456	456
roadmap_rsid598.tsv	443	441
roadmap_rsid599.tsv	438	437
roadmap_rsid600.tsv	431	431
roadmap_rsid601.tsv	422	420
roadmap_rsid602.tsv	426	425
roadmap_rsid603.tsv	458	458
roadmap_rsid604.tsv	449	449
roadmap_rsid605.tsv	422	422
roadmap_rsid606.tsv	447	447
roadmap_rsid607.tsv	435	434
roadmap_rsid608.tsv	429	429
roadmap_rsid609.tsv	397	396
roadmap_rsid610.tsv	421	421
roadmap_rsid611.tsv	465	464
roadmap_rsid612.tsv	467	466
roadmap_rsid613.tsv	460	460
roadmap_rsid614.tsv	459	459
roadmap_rsid615.tsv	421	420
roadmap_rsid616.tsv	445	442
roadmap_rsid617.tsv	420	418
roadmap_rsid618.tsv	421	421
roadmap_rsid619.tsv	424	424
roadmap_rsid620.tsv	439	439
roadmap_rsid621.tsv	425	424
roadmap_rsid622.tsv	445	444
roadmap_rsid623.tsv	436	435
roadmap_rsid624.tsv	460	460
roadmap_rsid625.tsv	423	421
roadmap_rsid626.tsv	426	426
roadmap_rsid627.tsv	440	440
roadmap_rsid628.tsv	426	426
roadmap_rsid629.tsv	419	418
roadmap_rsid630.tsv	435	435
roadmap_rsid631.tsv	420	419
roadmap_rsid632.tsv	458	457
roadmap_rsid633.tsv	451	451
roadmap_rsid634.tsv	452	451
roadmap_rsid635.tsv	453	453
roadmap_rsid636.tsv	445	445
roadmap_rsid637.tsv	448	447
roadmap_rsid638.tsv	443	442
roadmap_rsid639.tsv	449	448
roadmap_rsid640.tsv	454	453
roadmap_rsid641.tsv	424	423
roadmap_rsid642.tsv	423	422
roadmap_rsid643.tsv	449	449
roadmap_rsid644.tsv	407	407
roadmap_rsid645.tsv	450	450
roadmap_rsid646.tsv	433	432
roadmap_rsid647.tsv	441	440
roadmap_rsid648.tsv	412	412
roadmap_rsid649.tsv	457	457
roadmap_rsid650.tsv	409	409
roadmap_rsid651.tsv	459	459
roadmap_rsid652.tsv	404	403
roadmap_rsid653.tsv	467	465
roadmap_rsid654.tsv	414	413
roadmap_rsid655.tsv	457	455
roadmap_rsid656.tsv	449	447
roadmap_rsid657.tsv	472	472
roadmap_rsid658.tsv	425	424
roadmap_rsid659.tsv	430	430
roadmap_rsid660.tsv	441	440
roadmap_rsid661.tsv	439	437
roadmap_rsid662.tsv	421	421
roadmap_rsid663.tsv	430	427
roadmap_rsid664.tsv	418	416
roadmap_rsid665.tsv	448	448
roadmap_rsid666.tsv	427	426
roadmap_rsid667.tsv	449	448
roadmap_rsid668.tsv	448	448
roadmap_rsid669.tsv	446	446
roadmap_rsid670.tsv	442	442
roadmap_rsid671.tsv	483	483
roadmap_rsid672.tsv	449	448
roadmap_rsid673.tsv	428	426
roadmap_rsid674.tsv	458	457
roadmap_rsid675.tsv	434	434
roadmap_rsid676.tsv	409	408
roadmap_rsid677.tsv	422	422
roadmap_rsid678.tsv	459	458
roadmap_rsid679.tsv	428	427
roadmap_rsid680.tsv	446	446
roadmap_rsid681.tsv	411	411
roadmap_rsid682.tsv	433	432
roadmap_rsid683.tsv	408	406
roadmap_rsid684.tsv	403	403
roadmap_rsid685.tsv	432	430
roadmap_rsid686.tsv	417	416
roadmap_rsid687.tsv	411	411
roadmap_rsid688.tsv	467	467
roadmap_rsid689.tsv	428	428
roadmap_rsid690.tsv	433	432
roadmap_rsid691.tsv	452	452
roadmap_rsid692.tsv	428	427
roadmap_rsid693.tsv	436	434
roadmap_rsid694.tsv	461	460
roadmap_rsid695.tsv	458	458
roadmap_rsid696.tsv	452	451
roadmap_rsid697.tsv	436	436
roadmap_rsid698.tsv	431	430
roadmap_rsid699.tsv	426	426
roadmap_rsid700.tsv	437	436
roadmap_rsid701.tsv	438	438
roadmap_rsid702.tsv	445	444
